Total,Comunidad Asiática,Region,condado,porcentaje comunidad asiatica
10738.0,84.0,Virginia,Middlesex,0.7822685788787485
99373.0,6457.0,Virginia,Montgomery,6.497740835035673
14773.0,29.0,Virginia,Nelson,0.1963040682325864
23296.0,264.0,Virginia,New Kent,1.1332417582417582
12132.0,135.0,Virginia,Northampton,1.112759643916914
12007.0,104.0,Virginia,Northumberland,0.8661614058465895
15638.0,83.0,Virginia,Nottoway,0.530758409003709
36593.0,544.0,Virginia,Orange,1.4866231246413248
23753.0,79.0,Virginia,Page,0.332589567633562
17660.0,82.0,Virginia,Patrick,0.464326160815402
60541.0,288.0,Virginia,Pittsylvania,0.4757106754100527
30503.0,47.0,Virginia,Powhatan,0.1540832049306625
21922.0,308.0,Virginia,Prince Edward,1.4049812973268865
42634.0,754.0,Virginia,Prince George,1.7685415396162685
481114.0,46608.0,Virginia,Prince William,9.687516887889355
33841.0,173.0,Virginia,Pulaski,0.5112142076179782
7422.0,16.0,Virginia,Rappahannock,0.2155753166262463
8968.0,0.0,Virginia,Richmond,0.0
96653.0,3471.0,Virginia,Roanoke,3.5911973761807707
22673.0,159.0,Virginia,Rockbridge,0.7012746438495127
83905.0,754.0,Virginia,Rockingham,0.8986353614206543
25763.0,10.0,Virginia,Russell,0.0388153553545782
21536.0,23.0,Virginia,Scott,0.1067979197622585
44337.0,538.0,Virginia,Shenandoah,1.2134334754268443
29799.0,108.0,Virginia,Smyth,0.3624282694050136
18003.0,59.0,Virginia,Southampton,0.3277231572515692
141097.0,3864.0,Virginia,Spotsylvania,2.7385415706925023
157606.0,5924.0,Virginia,Stafford,3.758740149486695
6546.0,8.0,Virginia,Surry,0.1222120378857317
10866.0,50.0,Virginia,Sussex,0.4601509295048776
40392.0,279.0,Virginia,Tazewell,0.6907308377896614
40800.0,546.0,Virginia,Warren,1.338235294117647
53985.0,276.0,Virginia,Washington,0.5112531258682967
18480.0,204.0,Virginia,Westmoreland,1.103896103896104
36105.0,389.0,Virginia,Wise,1.0774131006785763
28275.0,214.0,Virginia,Wythe,0.7568523430592395
70238.0,3903.0,Virginia,York,5.556821093994704
157594.0,10066.0,Virginia,Alexandria city,6.387299008845515
17036.0,50.0,Virginia,Bristol city,0.2934961258511387
6639.0,36.0,Virginia,Buena Vista city,0.5422503389064619
46289.0,3237.0,Virginia,Charlottesville city,6.993022100283004
249377.0,9179.0,Virginia,Chesapeake city,3.6807724850327017
18158.0,656.0,Virginia,Colonial Heights city,3.612732679810552
5722.0,64.0,Virginia,Covington city,1.118490038448095
42507.0,614.0,Virginia,Danville city,1.4444679699814147
5680.0,44.0,Virginia,Emporia city,0.7746478873239436
24242.0,4230.0,Virginia,Fairfax city,17.449055358468772
14576.0,1279.0,Virginia,Falls Church city,8.77469813391877
8194.0,276.0,Virginia,Franklin city,3.3683182816695143
28258.0,1084.0,Virginia,Fredericksburg city,3.836081817538396
6687.0,25.0,Virginia,Galax city,0.3738597278301181
137217.0,2862.0,Virginia,Hampton city,2.085747392815759
51784.0,1676.0,Virginia,Harrisonburg city,3.2365209331067515
23046.0,219.0,Virginia,Hopewell city,0.9502733663108566
7346.0,231.0,Virginia,Lexington city,3.144568472638171
79166.0,1741.0,Virginia,Lynchburg city,2.1991764141171712
42620.0,2554.0,Virginia,Manassas city,5.992491787893008
17123.0,1890.0,Virginia,Manassas Park city,11.037785434795303
13539.0,107.0,Virginia,Martinsville city,0.790309476327646
185118.0,6431.0,Virginia,Newport News city,3.474000367333269
236973.0,9017.0,Virginia,Norfolk city,3.805074839749676
3668.0,2.0,Virginia,Norton city,0.054525627044711
33261.0,442.0,Virginia,Petersburg city,1.3288836775803494
12479.0,261.0,Virginia,Poquoson city,2.091513743088389
97384.0,1390.0,Virginia,Portsmouth city,1.4273391932966402
16379.0,373.0,Virginia,Radford city,2.2773063068563406
227171.0,5128.0,Virginia,Richmond city,2.257330381078571
99213.0,3199.0,Virginia,Roanoke city,3.2243758378438314
25372.0,450.0,Virginia,Salem city,1.7736087025067002
25581.0,364.0,Virginia,Staunton city,1.4229310816621712
94856.0,1790.0,Virginia,Suffolk city,1.8870709285654048
457900.0,32680.0,Virginia,Virginia Beach city,7.136929460580912
22341.0,394.0,Virginia,Waynesboro city,1.763573698581084
15486.0,1085.0,Virginia,Williamsburg city,7.006328296525894
28103.0,589.0,Virginia,Winchester city,2.0958616517809485
